General Education Formula Increases 2000 to 2025
($ per Pupil Unit)
Formula
Increase Biennial
Adjusted for Adjusted
Roll-ins and Formula
General Ed Statutory Roll-outs & % Increase for Increases Over
Previous
Formula Dollar Increase pupil weight Adjusted
Fiscal Year Allowance in Formula changes Formulas Biennium
2026 $7,481 $200 $200 2.74%
2025 $7,281 $143 $143 2.0% 6%
2024 $7,138 $275 $275 4.0% -
2023 $6,863 $135 $135 2.0% 4.45%
2022 $6,728 $161 $161 2.45% -
2021 $6,567 $129 $129 2.0% 4%
2020 $6,438 $126 $126 2.0% -
2019 $6,312 $124 $124 2.0% 4%
2018 $6,188 $121 $121 2.0% -
2017 $6,067 $119 $119 2.0% 4%
2016 $5,948 $117 $117 2.0% -
2015 $5,831 $529 $105 2.0% 3.5%
2014 $5,302 $78 $78 1.5% -
2013 $5,224 $50 $50 1.0% 2.0%
2012 $5,174 $50 $50 1.0% -
2011 $5,124 $0 $0 0.0% 0.0%
2010 $5,124 $0 $0 0.0% -
2009 $5,124 $50 $50 1.0% 3.0%
2008 $5,074 $100 $100 2.0% -
2007 $4,974 $181 $191 4.0% 8.1%
2006 $4,783 $182 $182 4.0% -
2005 $4,601 $0 $0 0.0% 0.0%
2004 $4,601 $0 $0 0.0% -
2003 $4,601 $533 $104 2.6% 5.3%
2002 $4,068 $104 $104 2.6% -
2001 $3,964 $224 $157 4.2% 9.2%
2000 $3,740 $210 $167 4.7% -
3 B - General Education Aid
